label,feature,row_count,count,missing_count,mean,median,std,min,p10,p25,p75,p90,max
exact,score,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,D_min_ratio,1,0,1,,,,,,,,,
exact,h_min,1,1,0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0
exact,h_min_over_S,1,0,1,,,,,,,,,
exact,P_<0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,P_0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,P_4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,P_8,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,P_16,1,1,0,0.03228228228228228,0.03228228228228228,0.0,0.03228228228228228,0.03228228228228228,0.03228228228228228,0.03228228228228228,0.03228228228228228,0.03228228228228228
exact,P_thetaS_001,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,P_thetaS_005,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,P_thetaS_010,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,kappa_max,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,kappa_q90,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,kappa_q95,1,0,1,,,,,,,,,
exact,kappa_q99,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,low_q_high_kappa_overlap,1,1,0,536.0,536.0,0.0,536.0,536.0,536.0,536.0,536.0,536.0
exact,Q_ratio,1,0,1,,,,,,,,,
exact,Q_tot,1,1,0,44444.0,44444.0,0.0,44444.0,44444.0,44444.0,44444.0,44444.0,44444.0
exact,InitHardness,1,1,0,-837.8285714285666,-837.8285714285666,0.0,-837.8285714285666,-837.8285714285666,-837.8285714285666,-837.8285714285666,-837.8285714285666,-837.8285714285666
exact,E_total,1,1,0,8757.0,8757.0,0.0,8757.0,8757.0,8757.0,8757.0,8757.0,8757.0
exact,AP_total,1,1,0,491.0,491.0,0.0,491.0,491.0,491.0,491.0,491.0,491.0
exact,E_excess_total,1,1,0,-108.45714285714212,-108.45714285714212,0.0,-108.45714285714212,-108.45714285714212,-108.45714285714212,-108.45714285714212,-108.45714285714212,-108.45714285714212
exact,AP_excess_total,1,1,0,1.2000000000000242,1.2000000000000242,0.0,1.2000000000000242,1.2000000000000242,1.2000000000000242,1.2000000000000242,1.2000000000000242,1.2000000000000242
exact,improving_swap_count,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,near_improving_count_h_le_4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact,near_improving_count_h_le_8,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
