run_id,mode,seed,family,snapshot_count,accepted_moves,score_start,score_end,score_best,score_slope,score_ls_slope,D_min_ratio_start,D_min_ratio_end,D_min_ratio_slope,D_min_ratio_ls_slope,P_4_start,P_4_end,P_4_slope,P_4_ls_slope,P_8_start,P_8_end,P_8_slope,P_8_ls_slope,P_16_start,P_16_end,P_16_slope,P_16_ls_slope,kappa_max_start,kappa_max_end,kappa_max_slope,kappa_max_ls_slope,Q_ratio_start,Q_ratio_end,Q_ratio_slope,Q_ratio_ls_slope,InitHardness_start,InitHardness_end,InitHardness_slope,InitHardness_ls_slope,final_label,final_canonical_hash,score0_candidate_paths
score_only_seed1,score_only,1,pure_random,31,35,328,12,8,-0.10533333333333333,-0.01746774193548387,0.47560975609756095,1.0,0.00017479674796747969,-0.00011747639653815893,0.5232732732732732,0.008258258258258258,-0.00017167167167167168,-2.880097839775259e-05,0.5487987987987988,0.03303303303303303,-0.0001719219219219219,-2.6067398043204493e-05,0.6193693693693694,0.15315315315315314,-0.0001554054054054054,-2.3152184442507025e-05,5.333333333333333,1.0,-0.0014444444444444444,-0.00019153225806451608,0.9685806233062331,25.412037037037038,0.008147818804576934,-0.003395648077574526,466.17142857143335,-1369.8285714285666,-0.612,-0.4034838709677419,unknown_final,7b5374f7f9bd253e48900588cafb4d0458f5f6cb165e46ea7b0c1c8ef88bbdac,[]
score_only_seed2,score_only,2,pure_random,31,30,628,16,8,-0.204,-0.03632258064516129,0.5987261146496815,0.75,5.042462845010617e-05,-9.790682145058558e-05,0.7004504504504504,0.03153153153153153,-0.00022297297297297296,-3.768587135522619e-05,0.7162162162162162,0.0533033033033033,-0.00022097097097097096,-3.527317640220866e-05,0.7477477477477478,0.18618618618618618,-0.0001871871871871872,-2.995737673157028e-05,9.0,1.25,-0.0025833333333333333,-0.00042170698924731177,0.5059271054493985,19.34375,0.006279274298183534,-0.00166889988092996,470.17142857143335,-713.8285714285666,-0.39466666666666667,-0.14969354838709678,escapable_final,e010e8efd9aeda5dbdc235f3392e24e6ad85e3b1186d38748eb35b86051b095a,[]
score_only_seed3,score_only,3,pure_random,31,27,120,16,8,-0.034666666666666665,-0.006516129032258064,0.43333333333333335,0.75,0.00010555555555555555,6.854838709677419e-05,0.31456456456456455,0.013513513513513514,-0.00010035035035035033,-1.6289474958829796e-05,0.37537537537537535,0.038288288288288286,-0.00011236236236236236,-1.6377264361135328e-05,0.484984984984985,0.17642642642642642,-0.00010285285285285286,-1.5735493558074196e-05,3.5,1.25,-0.00075,-0.0001502016129032258,2.633564814814815,19.20659722222222,0.005524344135802469,0.0022162391726403825,226.17142857143335,-1029.8285714285666,-0.4186666666666667,-0.16908064516129032,escapable_final,a119f60a5cbb62854e124d29432affe0715d6b9b934b594ac8b24b3e53b61b7b,[]
score_only_seed4,score_only,4,pure_random,31,46,316,12,4,-0.10133333333333333,-0.01951612903225806,0.5443037974683544,1.0,0.00015189873417721517,6.761603375527425e-05,0.5405405405405406,0.008258258258258258,-0.00017742742742742746,-3.580596725758016e-05,0.5630630630630631,0.026276276276276277,-0.00017892892892892894,-3.885437857212051e-05,0.6186186186186187,0.14114114114114115,-0.00015915915915915916,-3.790988569214376e-05,5.0,1.0,-0.0013333333333333333,-0.0002614247311827957,1.0058895921237694,25.810185185185187,0.008268098531020472,0.005751897452238632,490.17142857143335,-681.8285714285666,-0.39066666666666666,-0.032258064516129024,unknown_final,c2bc7ea4f76b96a103e1e398f12ca5eaaecc1b60cb9a75334b3f0040d48b7401,[]
score_only_seed5,score_only,5,pure_random,31,19,180,12,12,-0.056,-0.01014516129032258,0.4222222222222222,1.3333333333333333,0.00030370370370370366,7.157258064516128e-05,0.40765765765765766,0.006756756756756757,-0.00013363363363363363,-2.3379226000193743e-05,0.45645645645645644,0.03228228228228228,-0.00014139139139139137,-2.6073452484742806e-05,0.5397897897897898,0.15015015015015015,-0.00012987987987987987,-2.396650682941006e-05,5.0,0.8333333333333334,-0.001388888888888889,-0.0002570340501792115,1.758641975308642,25.729166666666668,0.007990174897119342,0.0014206499215949824,302.17142857143335,-821.8285714285666,-0.37466666666666665,-0.07696774193548388,false_basin_final,bbbd4f3a7f0541ccfe88b3ee6d0d824a21b5cfe6d2afba0c53734dbb0e8f226e,[]
score_only_seed6,score_only,6,pure_random,31,41,316,16,8,-0.1,-0.01691935483870968,0.5949367088607594,1.0,0.00013502109704641353,-3.726010616578194e-06,0.5773273273273273,0.02177177177177177,-0.00018518518518518515,-3.077472633924247e-05,0.6103603603603603,0.04954954954954955,-0.0001869369369369369,-2.8679889566986338e-05,0.6764264264264265,0.18393393393393392,-0.00016416416416416418,-1.75972343311053e-05,7.0,1.0,-0.002,-0.0003455645161290322,0.9970112517580872,19.354166666666668,0.006119051804969526,-0.0018658166527721063,86.17142857143335,-689.8285714285666,-0.25866666666666666,-0.05935483870967742,unknown_final,5d031c494e712a61ccc17c424aaa90c8df500cc6c81536f6ea3d665de29f8bfb,[]
score_only_seed7,score_only,7,pure_random,31,29,440,8,8,-0.144,-0.027016129032258064,0.6454545454545455,1.5,0.00028484848484848485,-9.402492668621703e-06,0.6569069069069069,0.0045045045045045045,-0.00021746746746746748,-4.043761503438923e-05,0.6771771771771772,0.02177177177177177,-0.00021846846846846845,-3.9608156543640414e-05,0.7252252252252253,0.1066066066066066,-0.00020620620620620623,-4.123982853821564e-05,7.75,0.8,-0.0023166666666666665,-0.00038702956989247316,0.7209595959595959,39.239583333333336,0.012839541245791246,0.0049630533323829695,398.17142857143335,-77.82857142856665,-0.15866666666666668,-0.1399516129032258,false_basin_final,41422ce264020d90a6f8ff6c4e6def606c165980bd507c968f0a1af6ed32b144,[]
score_only_seed8,score_only,8,pure_random,31,23,288,20,12,-0.08933333333333333,-0.01588709677419355,0.6111111111111112,0.8,6.296296296296296e-05,4.744623655913979e-05,0.5608108108108109,0.03153153153153153,-0.00017642642642642643,-3.225503729535988e-05,0.5893393393393394,0.07582582582582582,-0.00017117117117117117,-3.161326649229875e-05,0.6411411411411412,0.21996996996996998,-0.0001403903903903904,-2.5816138719364522e-05,6.0,1.3333333333333333,-0.0015555555555555557,-0.00031720430107526885,1.0812114197530864,15.404166666666667,0.00477431841563786,1.7545456242532732e-05,-441.82857142856665,-917.8285714285666,-0.15866666666666668,0.005209677419354838,escapable_final,e54c24a23cdcc8b30cc907455958abc01a37847096bf1fc066a345f251822f4e,[]
score_only_seed9,score_only,9,pure_random,31,19,252,12,12,-0.08,-0.014306451612903226,0.5396825396825397,1.0,0.00015343915343915345,2.784178187403994e-05,0.524024024024024,0.009009009009009009,-0.00017167167167167168,-3.1449796570764316e-05,0.5578078078078078,0.03678678678678678,-0.00017367367367367365,-3.166170202460525e-05,0.6223723723723724,0.15465465465465467,-0.00015590590590590592,-2.8701080112370437e-05,4.8,1.0,-0.0012666666666666666,-0.00022983870967741935,1.2324735449735449,25.41435185185185,0.00806062610229277,0.0011225551768646524,-557.8285714285666,-1365.8285714285666,-0.2693333333333333,-0.06124193548387097,unknown_final,73c6a62696127592a30222d3333693abe58f97aa62843d8e46a546e04b2fb06a,[]
score_only_seed10,score_only,10,pure_random,31,26,208,12,8,-0.06533333333333333,-0.011806451612903225,0.5384615384615384,1.0,0.00015384615384615385,3.194789081885856e-05,0.46321321321321324,0.014264264264264264,-0.00014964964964964966,-2.490191804707934e-05,0.5022522522522522,0.03303303303303303,-0.0001564064064064064,-2.5328756175530367e-05,0.5795795795795796,0.1539039039039039,-0.0001418918918918919,-2.4266201685556535e-05,4.0,1.0,-0.001,-0.00018387096774193548,1.4879807692307692,25.40972222222222,0.007973913817663818,0.0011904391111800378,-713.8285714285666,-1373.8285714285666,-0.22,-0.21633870967741936,unknown_final,444af5b67c8832b4c810483a87521045c4fd6aa260311252c34ea98713b67dc2,[]
