feature,direction_exact_like,exact_derived_count,search_derived_count,exact_derived_median,search_derived_median,median_difference_exact_minus_search,effect_size_exact_minus_search,auc_like_exact_better_than_search
D_min_ratio,low,23,90,0.0,1.0,-1.0,-2.7437550897866267,0.990096618357488
P_4,high,23,90,0.02177177177177177,0.009009009009009009,0.012762762762762761,1.4936002540169504,0.8364734299516908
P_8,high,23,90,0.04504504504504504,0.03003003003003003,0.015015015015015013,1.1092558153290215,0.7572463768115942
P_16,high,23,90,0.16891891891891891,0.143018018018018,0.025900900900900914,1.014223712024673,0.7280193236714976
kappa_max,high,23,90,2.0,1.0,1.0,4.482285202908464,0.9893719806763285
kappa_q90,high,23,90,0.5,0.4,0.09999999999999998,1.5058342313672768,0.8326086956521739
kappa_q99,high,23,90,0.8571428571428571,0.7142857142857143,0.1428571428571428,1.7000735826930637,0.8857487922705314
Q_ratio,low,23,90,19.322916666666668,25.761574074074076,-6.438657407407408,-1.1527882322620984,0.8033816425120773
InitHardness,low,23,90,-761.8285714285666,-905.8285714285666,144.0,0.6460867982661405,0.30628019323671496
return_radius_proxy,low,23,90,1.0,29.0,-28.0,-29.17162215960192,1.0
